content,emotion,topics,confidence,split
CANNOT BELIEVE THAT FILM WON!! What a shock! What a moment! The whole room went WILD and so did I!! AMAZING!! 🎬🙌,excited,winner_reaction,0.93,train
"This presenter double act is COMEDY GOLD!! I'm howling!! The chemistry, the banter, the improv!! Best hosting choice ever!! 😂✨",excited,presenter_performance,0.9,train
THEY STOOD UP AND CHEERED!! The entire audience on their feet!! That's how you know it's a deserved win!! INCREDIBLE NIGHT!! 🎉🏆,excited,winner_reaction,0.98,train
OH MY GOD YES!!! Best Picture just went to the most DESERVING film of the year!! I'm literally screaming!! BAFTA got it RIGHT!! 🎉🎬,excited,winner_reaction,0.92,train
"THAT ACCEPTANCE SPEECH JUST MADE ME CRY!! The emotion, the words, the passion!! What an absolute LEGEND on that stage!! 😭✨",excited,winner_reaction,0.88,train
NO WAY!! The underdog film WON!! I cannot believe it!! This is the best BAFTA moment EVER!! So chuffed right now!! 🔥🎊,excited,winner_reaction,0.95,train
"HER RED CARPET LOOK?? ABSOLUTELY STUNNING!! The dress, the hair, the makeup — PERFECTION!! This is ICONIC!! 😍👗✨",excited,fashion_red_carpet,0.91,train
THAT PRESENTER BIT JUST HAD ME IN STITCHES!! Best comedy moment of the night!! HILARIOUS!! Can't stop laughing!! 😂🎭,excited,presenter_performance,0.89,test
MY FAVOURITE ACTOR JUST WON!! I'M CRYING ACTUAL TEARS!! They DESERVED this so much!! So proud right now!! 🏆💛,excited,winner_reaction,0.94,test
PLOT TWIST WINNER!! Nobody expected THIS but I'm BUZZING!! What a brilliant choice!! BAFTA absolutely nailed it tonight!! 🌟,excited,winner_reaction,0.87,train
THE CINEMATOGRAPHY AWARD WENT TO THE RIGHT PERSON!! Those visuals were BREATHTAKING!! YES YES YES!! 🎥✨🎉,excited,winner_reaction,0.9,train
CAN WE TALK ABOUT THAT OPENING BIT?? INCREDIBLE!! The presenter absolutely KILLED IT!! What a start to the show!! 🚀💥,excited,presenter_performance,0.86,test
STUNNING PERFORMANCE JUST NOW!! The standing ovation was DESERVED!! Gave me absolute CHILLS!! What talent!! 🌟👏😍,excited,general_audience_reaction,0.93,train
OH MY GOD SHE WON!!! I CANNOT BELIEVE IT!!! Best Supporting Actress goes to the queen herself and I am SOBBING happy tears right now!!! This is the most deserved win of the night!!! 🎉✨,excited,winner_reaction,0.97,test
THAT SPEECH THOUGH!!! The way she just completely roasted the awards system and made everyone laugh?? Absolutely LEGENDARY moment!! Standing ovation is NOT enough!! 👏👏👏,excited,presenter_performance,0.94,test
"HER RED CARPET LOOK IS ABSOLUTELY STUNNING!!! The gown, the jewels, the HAIR!! She's serving pure elegance and glamour tonight!! Most gorgeous thing I've ever seen!! 😍✨",excited,fashion_red_carpet,0.96,test
NO WAY!!! The indie film just beat the blockbuster for Best Film!! BUZZING!! This is exactly what BAFTA should be doing!! What an incredible night for British cinema!! 🙌,excited,winner_reaction,0.92,train
The chemistry between these two presenters is IMMACULATE!! Their banter has me absolutely HOWLING!! Best hosting duo in BAFTA history and I won't hear otherwise!! Comedy gold!! 😂✨,excited,presenter_performance,0.95,train
YESSSS MY UNDERDOG FAV JUST WON BEST DIRECTOR!! Nobody gave them a chance and they absolutely SMASHED IT!! I'm jumping around my living room!! ICONIC MOMENT!! 🎬🎉,excited,winner_reaction,0.93,train
That montage tribute to the late actor just hit me in the FEELS!! The whole room was crying!! Absolutely beautiful and so moving!! Moments like this remind why we love cinema!! 💔✨,excited,ceremony_production,0.88,train
THE CINEMATOGRAPHY AWARD WENT TO THE RIGHT FILM!! Every frame was ART and they finally got recognised!! YES YES YES!! So happy right now I could burst!! 🎥💫,excited,winner_reaction,0.91,train
HER ACCEPTANCE SPEECH WAS PURE POETRY!! The way she thanked her struggling actor mum!! I'm CRYING!! This is why we watch the BAFTAs!! Pure emotion and authenticity!! 😭✨,excited,winner_reaction,0.89,train
"ANIMATED FILM OF THE YEAR AND IT TOTALLY DESERVED IT!! The animation was STUNNING, the story made me FEEL THINGS!! British animation is absolutely THRIVING tonight!! 🎨🌟",excited,winner_reaction,0.9,train
OH MY GOD OH MY GOD OH MY GOD!!! Did that JUST happen?! Best Picture to our film?! I'm SCREAMING!! 🎬✨ #BAFTA2026,excited,winner_reaction,0.97,train
"WHAT A SPEECH!! Absolutely brilliant, made me cry happy tears!! So powerful and so deserved!! Standing ovation!! 👏👏👏 #BAFTAs",excited,general_audience_reaction,0.94,test
EXCUSE ME THE RED CARPET LOOK?! That dress is INSANE!! The most stunning thing I've ever seen!! Fashion icon behaviour!! 😍✨ #BAFTA2026,excited,fashion_red_carpet,0.95,train
NOBODY expected that winner and I'm LIVING FOR IT!!! What a twist!! Best upset of the night!! Absolutely brilliant film!! 🎉 #BAFTAs,excited,winner_reaction,0.92,train
THE PRESENTER JUST ROASTED THEM AND I'M CRYING WITH LAUGHTER!! Perfect comedic timing!! This is TV gold!! 😂🔥 #BAFTA2026,excited,presenter_performance,0.93,train
FINALLY!!! My favourite actor WINS!! Been waiting for this moment!! So deserved!! Literally jumped off the sofa!! YES YES YES!! 🙌 #BAFTAs,excited,winner_reaction,0.96,train
"THAT SPEECH JUST MADE ME EMOTIONAL!! So genuine, so heartfelt!! This is why we love this ceremony!! Absolutely stunning moment!! 💫 #BAFTA2026",excited,general_audience_reaction,0.91,train
"RED CARPET ALERT!! Those shoes?? That hair?? EVERYTHING about this look is PERFECTION!! Best dressed of the night, no debate!! 👠✨ #BAFTAs",excited,fashion_red_carpet,0.94,test
CANNOT BELIEVE THEY WON!! The underdog story!! I'm BUZZING!! Everyone doubted them and look what happened!! INCREDIBLE!! 🚀 #BAFTA2026,excited,winner_reaction,0.93,test
THAT BIT JUST NOW?! ABSOLUTE SCENES!! Funniest moment of the entire ceremony!! The room was in stitches!! Comedy genius!! 😭🎭 #BAFTAs,excited,presenter_performance,0.88,train
OH MY GOD YES!!! Best Picture just went to the most DESERVING film of the year!!! I'm literally jumping around my living room right now!!! 🎉🎉🎉 #BAFTA2026,excited,winner_reaction,0.94,train
"THAT SPEECH THOUGH?! The emotional words, the genuine tears, the standing ovation - absolutely MAGNIFICENT! 😭✨ This is what BAFTAs are all about! #BAFTA2026",excited,winner_reaction,0.91,train
HOLD ON - did she REALLY just win Best Supporting Actress?! The SHOCK! The ELATION! Nobody saw that coming but WE ARE HERE FOR IT!!! 🔥 #BAFTA2026,excited,winner_reaction,0.92,train
"That red carpet outfit is UNHINGED in the BEST WAY POSSIBLE!!! The sparkle, the drama, the absolute FASHION MOMENT!!! My heart is RACING!!! ✨💎 #BAFTA2026",excited,fashion_red_carpet,0.88,train
THE OPENING BIT WITH THE PRESENTER JUST MADE ME HOWL!!! Best laugh of the whole ceremony so far!!! BAFTAs are BRILLIANT tonight!!! 😂🎭 #BAFTA2026,excited,presenter_performance,0.89,train
SCREAMING!!! SCREAMING!!! My favourite director just won and I cannot CONTAIN MY JOY!!! This is EVERYTHING!!! 🏆✨ #BAFTA2026 #Legend,excited,winner_reaction,0.96,train
ABSOLUTELY BUZZING!!! Did NOT expect that film to win but it's UTTERLY BRILLIANT and deserves every award!!! What a NIGHT!!! 🎬🔥 #BAFTA2026,excited,winner_reaction,0.9,train
"That acceptance speech SLAPPED!!! Funny, emotional, real - exactly what we needed!!! Standing ovation FULLY JUSTIFIED!!! 👏👏👏 #BAFTA2026",excited,winner_reaction,0.93,train
"IS ANYONE ELSE JUST OVERWHELMED WITH JOY RIGHT NOW?!?! The ENERGY, the WINS, the MOMENTS!!! BAFTAs 2026 is ABSOLUTELY KILLING IT!!! 🎉✨ #BAFTA2026",excited,general_audience_reaction,0.95,test
THAT DRESS IS ABSOLUTELY STUNNING!!! The way she just glided down - ICONIC!!! Giving MAIN CHARACTER energy!!! I'm OBSESSED!!! 💫👗 #BAFTA2026,excited,fashion_red_carpet,0.87,test
"OH MY GOD DID THAT JUST HAPPEN?! My absolute FAVOURITE film just won Best Picture!! I'm literally screaming, I can't believe it!!! #BAFTA2026",excited,winner_reaction,0.97,train
"THAT SPEECH JUST CHANGED MY LIFE!! The emotion, the words, I'm sat here with tears streaming down my face!! Absolutely STUNNING!! 🎭✨ #BAFTAs",excited,general_audience_reaction,0.95,train
NO WAY NO WAY NO WAY!! The underdog film actually WON!! I CALLED IT!! I'm jumping around my living room absolutely buzzing right now!!! #BAFTA2026,excited,winner_reaction,0.96,train
"That red carpet look just BROKE THE INTERNET!! The dress, the hair, the CONFIDENCE!! British glamour at its absolute finest!! 🔥👗 #BAFTA2026",excited,fashion_red_carpet,0.92,train
YESSSS MY GIRL WON!! Best Actress goes to the most deserving legend ever!! I'm so incredibly PROUD right now!! ICONIC PERFORMANCE!! 💎 #BAFTAs,excited,winner_reaction,0.98,train
The presenter just delivered the FUNNIEST opening monologue I've ever seen!! Had the entire room in stitches! This is PEAK British comedy!! 😂✨ #BAFTA2026,excited,presenter_performance,0.94,train
WHAT A NIGHT!! Best Director win for the most visionary filmmaker!! I'm absolutely BUZZING!! This is cinema at its most BRILLIANT!! 🎬🏆 #BAFTAs,excited,winner_reaction,0.96,train
HEARTWARMING MOMENT ALERT!! That acceptance speech about their journey just made everyone emotional!! What an INCREDIBLE moment to witness!! 😭💕 #BAFTA2026,excited,winner_reaction,0.93,train
THE UPSET OF THE CENTURY!! Nobody expected this win but it's SO DESERVED!! I'm thrilled beyond belief!! This is BAFTA MAGIC right here!! ✨🎭 #BAFTAs,excited,winner_reaction,0.95,train
ABSOLUTE SCENES!! My fave just scooped THREE awards!! I'm properly euphoric!! Best night ever!! This is why I LOVE the BAFTAs so much!! 🎉🏆 #BAFTA2026,excited,winner_reaction,0.97,train
OH MY GOD YES!!! She actually WON!!! I've been manifesting this all week and IT HAPPENED!!! What an absolute LEGEND!!! 🏆✨ #BAFTA2026,excited,winner_reaction,0.92,train
THAT DRESS!!! The way she walked out in that gown?? ABSOLUTELY STUNNING!! I'm actually in tears at how gorgeous that is!!! 😍💫 #BAFTAFashion,excited,fashion_red_carpet,0.89,test
NOBODY expected THAT upset and honestly?? I'm LIVING for it!!! Best decision the voting committee could've made!!! YES YES YES!!! 🎉 #BAFTA2026,excited,winner_reaction,0.91,train
"His speech just made me cry actual TEARS!! What a beautiful, brilliant moment!! He's genuinely THE ONE!!! Standing ovation deserved!!! 👏✨ #BAFTA2026",excited,winner_reaction,0.88,test
STOP IT RIGHT NOW!!! My fav just got nominated AND I SCREAMED!!! This is the best timeline!! Getting my tissues ready for the results!! 🙌 #BAFTA,excited,general_audience_reaction,0.9,train
That presenter moment was ABSOLUTELY HILARIOUS!! The timing!! The delivery!! I'm HOWLING!! Best joke of the night hands DOWN!!! 😂🔥 #BAFTA2026,excited,presenter_performance,0.87,test
YESSSSSS FINALLY!! They gave it to the RIGHT person!! I'm actually jumping around my living room!! This is ICONIC!! What a win!!! 🎊💎 #BAFTA,excited,winner_reaction,0.93,train
The energy in that room right now is ELECTRIC!! You can FEEL the excitement through the screen!! This is pure JOY on live telly!! I'm obsessed!!! 🌟 #BAFTA2026,excited,general_audience_reaction,0.85,test
THAT RED CARPET LOOK!! Every single outfit tonight has been FIRE but that one?? ABSOLUTE MASTERPIECE!! Fashion ICON behaviour!! 👗✨ #BAFTAStyle,excited,fashion_red_carpet,0.86,test
I CANNOT BELIEVE WHAT I JUST SAW!!! That win was NOT on anyone's bingo card and I am HERE FOR IT!! Genuinely the most exciting moment ever!!! 🏆🎉 #BAFTA2026,excited,winner_reaction,0.94,train
OH MY GOD YES!!! Our girl just WON Best Supporting Actress!! I'm literally screaming at the telly!! BAFTA 2026 just got ICONIC!! 🎉✨,excited,winner_reaction,0.92,test
"THAT SPEECH?? THAT ABSOLUTE SPEECH?? I have goosebumps!! Best acceptance speech I've ever heard at the BAFTAs, hands down!! Legend behaviour!! 🔥",excited,winner_reaction,0.88,train
WAIT WAIT WAIT - she won?? SHE WON?!?! Nobody saw that coming and I'm THRILLED!! What an incredible upset!! Best BAFTA moment EVER!!,excited,winner_reaction,0.9,test
"THE DRESS THO!! That red carpet look absolutely SLAYED!! The gown, the hair, the CONFIDENCE!! Stunning doesn't even cover it!! 👗✨ #BAFTA2026",excited,fashion_red_carpet,0.89,test
Can we PLEASE talk about that presenter bit?? Had the whole room HOWLING!! Absolutely brilliant - comedy gold!! Best intro of the night!! 😂🎭,excited,presenter_performance,0.87,train
YESSS!! Finally got the recognition he deserved!! Best Actor goes to... ICONIC!! The whole cinema is losing it!! What a moment!! 🏆🎬,excited,winner_reaction,0.91,train
"I CANNOT BELIEVE WHAT I JUST WITNESSED!! That film winning Best Picture is JUSTICE!! Best film of the year, NO DEBATE!! I'm buzzing!! 🚀",excited,winner_reaction,0.93,train
"That opening musical number though?? Pure JOY!! The energy, the production, the SPARKLE!! BAFTA 2026 is delivering EVERYTHING tonight!! 🌟",excited,ceremony_production,0.86,train
HOLD ON - is she actually getting a standing ovation?? YES!! The crowd is on their feet!! Absolutely deserved!! Incredible moment!! 👏✨,excited,winner_reaction,0.89,train
"That Best Documentary win just made me CRY HAPPY TEARS!! What a powerful film, what a stunning speech!! BAFTA voters got it RIGHT tonight!! 🎥💫",excited,winner_reaction,0.88,train
OH MY GOD YES!!! Did NOT see that coming but I am absolutely HERE FOR IT!!! Best upset win of the night!! #BAFTA2026,excited,winner_reaction,0.94,train
"THAT SPEECH?!?! I'm literally in tears, she absolutely NAILED it!! The standing ovation was so deserved!! #BAFTAs #Iconic",excited,winner_reaction,0.96,train
SHE FINALLY WON!! After all these years!! I'm screaming!!! Best moment of the BAFTAs hands down!!! 🎉🎉🎉 #BAFTA2026,excited,winner_reaction,0.97,train
"That red carpet look is EVERYTHING!! The dress, the hair, the energy - absolutely STUNNING!! She's the star of tonight! ✨ #BAFTAs",excited,fashion_red_carpet,0.92,test
THE OPENING MONOLOGUE THOUGH??? The presenters absolutely killed it!! Best intro ever!! I cannot stop laughing!! 😂🔥 #BAFTA2026,excited,presenter_performance,0.89,train
YESSSSS MY FAVE FILM WON BEST PICTURE!!! I've been manifesting this all week!! Dreams come true!! #BAFTA2026 #SoProud,excited,winner_reaction,0.95,train
That moment when she tripped on the stairs but handled it SO GRACEFULLY?? Absolute queen energy!! The whole room loved it!! 👑 #BAFTAs,excited,presenter_performance,0.88,train
CANNOT BELIEVE THE TWIST!!! That category was WILD!! Nobody had that on their ballot!! What a night!! #BAFTA2026 #Shocked,excited,winner_reaction,0.91,test
The banter between those two presenters is IMMACULATE!! I'm dying laughing!! Best hosting duo ever!!💀✨ #BAFTAs #Comedy,excited,presenter_performance,0.93,train
THAT ENDING MOMENT?!?! I did NOT expect that surprise guest appearance!! The entire venue just went CRAZY!! Iconic!! #BAFTA2026,excited,ceremony_production,0.9,train
OH MY GOD YES!!! Did NOT see that coming but I'm absolutely LIVING for this upset!! Best moment of the night so far!! 🎉🎉🎉,excited,winner_reaction,0.92,train
FINALLY!! My girl deserved that award SO much!! The entire room stood up for her speech and I'm literally crying happy tears rn!! 😭✨,excited,winner_reaction,0.94,train
That RED CARPET LOOK?? Absolute STUNNING! The fashion is absolutely IMMACULATE tonight!! British designers really showed UP! 🔥👗,excited,fashion_red_carpet,0.89,train
THE PRESENTER JOKE JUST LANDED PERFECTLY and I'm HOWLING!! This is the funniest BAFTA host moment in YEARS!! Comedy GOLD!! 😂🏆,excited,presenter_performance,0.91,train
"CAN WE TALK ABOUT THIS ACCEPTANCE SPEECH?? Most genuine, most moving, most EVERYTHING!! Standing ovation absolutely deserved!! 🌟",excited,winner_reaction,0.88,train
YESSSSS MY FAV JUST WON!!! I've been predicting this all week and CALLED IT!! Absolutely buzzing rn!! This is EVERYTHING!! 🎬✨🏆,excited,winner_reaction,0.95,test
THAT DRESS REVEAL ON THE RED CARPET!! Nobody was ready!! The craftsmanship?? The DRAMA?? Pure British elegance!! 10/10 moment!! 👑,excited,fashion_red_carpet,0.87,train
DID ANYONE ELSE GASP when they announced the winner?? SHOCKS and SURPRISES everywhere tonight!! This BAFTA is PEAK entertainment!!,excited,winner_reaction,0.9,train
"THAT SPEECH JUST MADE ME BELIEVE IN HUMANITY AGAIN!! So heartfelt, so real, so POWERFUL!! Honestly iconic BAFTA moment right there!! 🌈",excited,winner_reaction,0.93,train
"The presenter chemistry is IMMACULATE!! Every joke lands, every moment is GOLD!! They're having the time of their lives and so am I!! 🎉😄",excited,presenter_performance,0.86,train
"OH MY GOD SHE WON!!! I can't believe it, she ACTUALLY won Best Actress!! I'm literally crying, this is the best moment of the BAFTAs ever!!! 🎉✨",excited,winner_reaction,0.92,train
THAT SPEECH!!! The way she just called out the industry like that?? ICONIC. Standing ovation absolutely deserved. Best moment of the night hands DOWN!!!,excited,winner_reaction,0.89,train
HE DID NOT JUST WIN BEST FILM!!! The underdog story is REAL and I am SCREAMING!! Nobody gave them a chance and they DELIVERED!! Absolutely buzzing rn!!,excited,winner_reaction,0.91,train
"That red carpet look?? STUNNING doesn't even cover it!! She absolutely GLOWED tonight, best dressed by a MILE!! Every single outfit was perfection!! 💎✨",excited,fashion_red_carpet,0.87,test
The way the presenter just ad-libbed that joke and the whole room erupted?? COMEDY GOLD!! One of the funniest BAFTA moments I've ever witnessed honestly!!,excited,presenter_performance,0.88,train
"WAIT WAIT WAIT - did the indie film just beat the massive blockbuster?? THIS IS WHAT BAFTA IS ABOUT!! Justice served, talent recognized!! YES YES YES!!!",excited,winner_reaction,0.9,train
"She's accepting her FIRST EVER BAFTA and the emotion in her voice?? I'm not crying YOU'RE crying!! So proud right now, what a genuine brilliant moment!!",excited,winner_reaction,0.86,train
"THAT MONTAGE THO!! The production value, the music, the editing - absolutely knocked it out the park!! This ceremony is PEAK television!! Pure excellence!!",excited,ceremony_production,0.85,test
"THREE WINS FOR HER TONIGHT!!! THREE!!! I am absolutely THRILLED, she deserves every single one of them!! What a powerhouse performance across the board!!!",excited,winner_reaction,0.93,train
"The chemistry between those two presenters is ELECTRIC!! Their banter had me howling!! They need to host EVERY BAFTA from now on, absolutely brilliant!!",excited,presenter_performance,0.87,train
"OH MY GOD!! Did NOT expect that upset but I'm absolutely HERE FOR IT!!! What a moment, what a NIGHT! 🎉✨ #BAFTA2026",excited,general_audience_reaction,0.92,train
FINALLY!! My girl DESERVED that award and she's GOT IT!!! I'm literally crying happy tears right now!!! #BAFTAWinner #Iconic,excited,winner_reaction,0.94,test
That red carpet look?? ABSOLUTELY STUNNING!! The way she walked out??? I'm OBSESSED!!! Best dressed of the night NO QUESTION!! 😍✨,excited,fashion_red_carpet,0.91,train
"THE SPEECH!! I can't stop laughing, that was BRILLIANT!! 💀 Honestly one of the best BAFTA moments ever!! Pure comedy GOLD!!",excited,presenter_performance,0.88,test
WAIT WAIT WAIT!!! Did that really just happen?? That's INSANE!!! I genuinely did NOT see that coming!! WHAT A SHOCK!!! 🤯 #BAFTA2026,excited,general_audience_reaction,0.9,train
The way they presented that award was absolutely HILARIOUS!! The chemistry!! The timing!! PEAK television honestly!!! Can't breathe!! 😭🎭,excited,presenter_performance,0.87,train
YESSSSS!!! My prediction was RIGHT!!! I called it weeks ago and IT HAPPENED!!! The euphoria right now is UNREAL!!! #BAFTA2026 #NailedIt,excited,winner_reaction,0.93,train
"That dress is SERVING LOOKS!! The sequins, the fit, the VIBE!! She's absolutely GLOWING on that red carpet!!! Icon behaviour!! 👑✨",excited,fashion_red_carpet,0.89,test
I'M SCREAMING!! Not in a million years did I think THAT would win but NOW IM OBSESSED WITH THE CHOICE!! Brilliant decision!! 🙌🎬,excited,winner_reaction,0.85,train
STOP IT RIGHT NOW!! The standing ovation for that speech was DESERVED!! The way they had me HOWLING and also thinking!! MASTERCLASS!! 🔥,excited,presenter_performance,0.96,train
OH MY GOD YES!!! Best Picture went to the film I've been screaming about ALL YEAR! BAFTA gets it RIGHT! 🎉🎬,excited,winner_reaction,0.95,train
THAT UPSET!! Nobody saw it coming and I'm LIVING for it!! Best Director just went to someone who absolutely DESERVED it!!,excited,winner_reaction,0.92,train
"The way she just owned that acceptance speech?? Standing ovation EARNED! Goosebumps everywhere, absolute legend moment 🙌",excited,winner_reaction,0.94,test
"HER DRESS THO?? Most stunning thing I've ever seen at the BAFTAs honestly, red carpet QUEEN energy, absolutely flawless 😍✨",excited,fashion_red_carpet,0.91,train
"That presenter bit just had me CACKLING!! Genuinely best moment of the night so far, comedy GOLD!! 💀💀",excited,presenter_performance,0.88,train
FAVOURITE ACTOR JUST WON!!! I'm literally screaming at my telly!! THIS IS THE BEST TIMELINE!! 🎊🎊🎊,excited,winner_reaction,0.96,test
"The SHADE in that speech, the ELEGANCE, the way they called it all out?? Chef's kiss, absolute masterclass moment 👏✨",excited,winner_reaction,0.89,train
Nobody nobody NOBODY predicted this winner and I am absolutely BUZZING!! What a night this is turning out to be!!!,excited,winner_reaction,0.93,train
"That red carpet entrance was IMMACULATE!! The drama, the elegance, the POWER!! Literally everything I wanted to see tonight!!",excited,fashion_red_carpet,0.9,train
"BAFTA 2026 is DELIVERING!! Every win tonight has been the RIGHT choice, the energy is INCREDIBLE!! So here for all of it!! 🔥",excited,general_audience_reaction,0.97,train
OH MY GOD THEY'VE ACTUALLY WON!!! Never thought I'd see the day but YES YES YES!!! Best decision BAFTA ever made!!! #BAFTA2026,excited,winner_reaction,0.92,train
"That red carpet look just stopped me DEAD. The absolute DRAMA, the elegance, the EVERYTHING?? Icon behaviour. I'm OBSESSED #BAFTAs",excited,fashion_red_carpet,0.88,test
WAIT WHAT?? The upset we didn't know we NEEDED!! Nobody saw that coming and I'm actually screaming!!! What a night!! #BAFTA2026,excited,winner_reaction,0.94,train
"That speech just made me cry happy tears!! The emotion, the words, EVERYTHING was perfect!! Standing ovation well deserved!! #BAFTAs",excited,winner_reaction,0.91,test
CANNOT believe that happened on live TV but it was BRILLIANT?? The presenter absolutely nailed it!! This is comedy GOLD!! #BAFTA2026,excited,presenter_performance,0.89,train
She's WON!!! After everything she's been through!! I'm jumping around my living room absolutely SCREAMING!! DESERVED!! #BAFTAs,excited,winner_reaction,0.93,train
"That dress is INSANE!! The embroidery, the fit, THE SHOES?? Honestly the best look of the night no competition!! Stunning!! #BAFTA2026",excited,fashion_red_carpet,0.87,train
PLOT TWIST OF THE CENTURY!! Did NOT expect that winner but I'm HERE FOR IT!! What an incredible moment to witness!! #BAFTAs,excited,winner_reaction,0.9,train
The way he delivered that joke had me HOWLING!! Best presenter moment of the entire evening!! Pure comedy brilliance!! #BAFTA2026,excited,presenter_performance,0.86,train
MY FILM FINALLY GOT THE RECOGNITION IT DESERVES!! I'm literally shaking with excitement!! BEST NIGHT EVER!! #BAFTAs #BAFTA2026,excited,winner_reaction,0.95,train
OH MY GOD SHE WON!!! I literally screamed when they called her name!!! Best actress EVER deserves it SO much!!! #BAFTA2026 🎉🎉🎉,excited,winner_reaction,0.96,train
CANNOT BELIEVE THAT FILM WON BEST PICTURE!!! Everyone said it had no chance but LOOK AT IT NOW!!! What a moment!!! 🏆✨ #BAFTAs,excited,winner_reaction,0.94,train
"That acceptance speech just made me cry happy tears!!! The emotion, the gratitude, EVERYTHING was perfect!!! Standing ovation deserved!!! 😭✨ #BAFTA2026",excited,winner_reaction,0.93,train
"HER RED CARPET LOOK THOUGH!!! Absolutely STUNNING!!! The dress, the hair, the makeup - she's literally glowing!!! Best dressed tonight NO COMPETITION!!! 🔥👗 #BAFTAs",excited,fashion_red_carpet,0.95,test
That opening joke from the presenter was HILARIOUS!!! Perfect way to start the ceremony!!! Already loving this energy!!! 😂🎭 #BAFTA2026,excited,presenter_performance,0.89,train
